gene,category
ADAM10,Neuron
ANK3,Neuron
APH1B,Neuron
APP,Neuron
BIN1,Neuron
CASS4,Neuron
CD2AP,Neuron
CLU,Neuron
EPHA1,Neuron
FERMT2,Neuron
MAPT,Neuron
PICALM,Neuron
PSEN1,Neuron
PSEN2,Neuron
PTK2B,Neuron
SLC24A4,Neuron
SORL1,Neuron
ABI3,Microglia
BLNK,Microglia
CD33,Microglia
CLNK,Microglia
CR1,Microglia
INPP5D,Microglia
LILRB2,Microglia
MS4A4A,Microglia
MS4A6A,Microglia
PILRA,Microglia
PLCG2,Microglia
SCIMP,Microglia
SPI1,Microglia
TREM2,Microglia
TREML2,Microglia
ABCA1,Astrocyte
ABCA7,Astrocyte
APOE,Astrocyte
CLU,Astrocyte
CTSB,Astrocyte
CTSH,Astrocyte
GRN,Astrocyte
ANK3,Oligodendrocyte
MAF,Oligodendrocyte
ACE,Ubiquitous
ADAM17,Ubiquitous
ADAMTS1,Ubiquitous
ANKH,Ubiquitous
APBB3,Ubiquitous
BCKDK,Ubiquitous
CASP7,Ubiquitous
COX7C,Ubiquitous
DOC2A,Ubiquitous
EED,Ubiquitous
EPDR1,Ubiquitous
FOXF1,Ubiquitous
HLA-DQA1,Ubiquitous
HS3ST5,Ubiquitous
ICA1,Ubiquitous
IDUA,Ubiquitous
IL34,Ubiquitous
JAZF1,Ubiquitous
KLF16,Ubiquitous
MINDY2,Ubiquitous
MME,Ubiquitous
MYO15A,Ubiquitous
NCK2,Ubiquitous
PLEKHA1,Ubiquitous
PRDM7,Ubiquitous
PRKD3,Ubiquitous
RASGEF1C,Ubiquitous
RBCK1,Ubiquitous
RHOH,Ubiquitous
RIN3,Ubiquitous
SEC61G,Ubiquitous
SHARPIN,Ubiquitous
SIGLEC11,Ubiquitous
SNX1,Ubiquitous
SORT1,Ubiquitous
SPDYE3,Ubiquitous
SPPL2A,Ubiquitous
TMEM106B,Ubiquitous
TNIP1,Ubiquitous
TPCN1,Ubiquitous
TSPAN14,Ubiquitous
TSPOAP1,Ubiquitous
UMAD1,Ubiquitous
UNC5CL,Ubiquitous
USP6NL,Ubiquitous
WDR12,Ubiquitous
WDR81,Ubiquitous
WNT3,Ubiquitous
