gene	modality	n_variants	IR_original	IR_mean	IR_median	CI_lower	CI_upper	includes_1	n_valid_boots
ANK3	rna_seq	684	1.0372881355932202	1.0434963150288472	1.0319672350922353	0.702023995207435	1.4263069161442006	True	1000
ANK3	cage	684	1.0485581951292395	1.0491480690967823	1.0479893447009272	0.7245887859402141	1.3870687350499507	True	1000
ANK3	dnase	684	1.102836879432624	1.1118232034539752	1.109066192744776	0.8222164497221587	1.408850323156981	True	1000
ANK3	chip_histone	684	1.3554744525547444	1.3587272741659522	1.361984471614672	1.0579454943560505	1.6752196879490682	False	1000
APP	cage	432	0.9487843762455163	0.9702359319434727	0.9542847841465014	0.7364671814671815	1.2871181399074998	True	1000
APP	dnase	432	1.1900563665269548	1.1930876740738012	1.1924351078531514	0.9546215424555755	1.4238463365351266	True	1000
APP	chip_histone	432	1.026029381336644	1.03104198814655	1.0280971383376474	0.8688119574679282	1.2235100975541284	True	1000
JAZF1	rna_seq	428	0.765078183172003	0.7658160914435175	0.7468064996735253	0.20255675059613715	1.3734848053181385	True	1000
JAZF1	cage	428	0.9745293466223698	0.9848700221374324	0.9696938775510204	0.6153714436248683	1.4328776014294724	True	1000
JAZF1	dnase	428	0.714642857142857	0.7171154139117139	0.7083027637538916	0.4720886768142866	1.008466193989333	True	1000
JAZF1	chip_histone	428	0.7802742923840094	0.7823127618029788	0.7776229370396885	0.43209942786216543	1.1476183866115275	True	1000
UMAD1	rna_seq	391	1.1247863247863248	1.120992072631997	1.124057018346944	0.40881902068207804	1.7955801891722407	True	1000
UMAD1	cage	391	0.7864923747276688	0.7835265217697015	0.7841823491239455	0.3797440954227163	1.2335811627282491	True	1000
UMAD1	dnase	391	1.105099287345188	1.1165966420147109	1.1081656759614176	0.8674743751177698	1.391127457794107	True	1000
UMAD1	chip_histone	391	1.244083786376719	1.247805939231359	1.2361688211757464	0.980034023730724	1.5925608465608467	True	1000
EPDR1	rna_seq	325	0.7269681742043551	0.7232318046588334	0.7138161534206159	0.3528132992327366	1.1450108376392667	True	1000
EPDR1	cage	325	0.6793341708542714	0.6733036425445643	0.6748107552879703	0.28399906302743494	1.0799999999999998	True	1000
EPDR1	dnase	325	0.7439613526570048	0.7476239904025863	0.7441863853447881	0.5204445064739183	0.9935079051383398	False	1000
EPDR1	chip_histone	325	0.7710526315789474	0.7767885659073045	0.7739736460411659	0.5149192508957803	1.068859491957318	True	1000
PLCG2	rna_seq	314	1.3873873873873874	1.374606985786809	1.3162393162393162	0.0	3.3887625906526977	True	998
PLCG2	cage	314	1.3873873873873874	1.3894054546467824	1.3508771929824561	0.0	3.4668407960199006	True	999
PLCG2	dnase	314	1.0337837837837838	1.028229165597816	0.9456006424397229	0.0	2.5801489686783805	True	1000
PLCG2	chip_histone	314	1.0342465753424657	1.082291568259032	1.0398007010910235	0.0	2.3490635451505013	True	1000
SLC24A4	rna_seq	284	1.1695473251028805	1.1800975757465895	1.1722604405531234	0.84430495998689	1.570582661864208	True	1000
SLC24A4	cage	284	0.9161324786324787	0.9172215332856452	0.9037563743446096	0.5444848580670028	1.3379983667247386	True	1000
SLC24A4	dnase	284	1.134782608695652	1.1454711861209392	1.1456749771967163	0.555671332586786	1.7475464360635389	True	1000
SLC24A4	chip_histone	284	0.7926960257787325	0.8135352804993752	0.8085023855646434	0.4454971332488009	1.2384787276540494	True	1000
RIN3	rna_seq	234	1.396030245746692	1.4092272720957908	1.3789552005012533	0.48	2.490561061381074	True	1000
RIN3	cage	234	1.2266666666666666	1.2520370436385178	1.209448795884966	0.7272372159090907	2.017848970251716	True	1000
RIN3	dnase	234	1.254340277777778	1.2865045800402333	1.25	0.7133955792682927	2.039004227384509	True	1000
RIN3	chip_histone	234	0.6258503401360545	0.6425983206444942	0.613095238095238	0.1281788837554657	1.345472027972028	True	1000
ICA1	rna_seq	227	0.8875502008032128	0.8869443245162266	0.8389513108614233	0.0	2.16998494800219	True	997
ICA1	cage	227	1.0015243902439024	1.017927158811324	1.0050162603354094	0.0	2.1644468755881796	True	1000
ICA1	dnase	227	0.8242187500000001	0.8465198690970278	0.8227353727353728	0.24545402656704027	1.5414641424751718	True	1000
ICA1	chip_histone	227	1.4885670731707317	1.5205983484131158	1.5141346420052813	0.9715362969919973	2.094076567785584	True	1000
HS3ST5	rna_seq	223	0.8237116305266123	0.8289416040373171	0.8256552006552007	0.6379906631744867	1.0391961050346497	True	1000
HS3ST5	cage	223	0.9597288676236044	0.9684169936790529	0.964551212655105	0.6925500601022422	1.270308525567742	True	1000
HS3ST5	dnase	223	1.3461538461538463	1.3707738977997375	1.3702924813437827	0.8308454333352506	1.902799308292174	True	1000
HS3ST5	chip_histone	223	0.8566810344827587	0.8613148526109724	0.855742149315738	0.6187843352704214	1.115997274330608	True	1000
ABCA1	cage	208	0.8140495867768595	0.8197320880101481	0.7988095238095239	0.0	1.689590122927387	True	1000
ABCA1	dnase	208	1.098	1.0987552435936792	1.076923076923077	0.5494615459284764	1.7308101851851851	True	1000
ABCA1	chip_histone	208	0.9539622641509434	0.9783302738299557	0.9672652472456709	0.580842822112522	1.4460336817653892	True	1000
CLNK	dnase	197	2.0216216216216214	2.078742741882482	2.0216216216216214	0.5136768018018018	4.227272727272727	True	1000
CLNK	chip_histone	197	1.0712250712250713	1.129043477418947	1.0638220805563603	0.0	2.8908269074675323	True	1000
INPP5D	rna_seq	187	0.0	0.0	0.0	0.0	0.0	False	873
INPP5D	cage	187	0.0	0.0	0.0	0.0	0.0	False	986
INPP5D	dnase	187	1.1133333333333333	1.1338064975967268	1.0815995955798587	0.3843117495711835	2.1576340354046804	True	1000
INPP5D	chip_histone	187	0.7424242424242424	0.748958361203401	0.7239412169644728	0.27075560224089634	1.3269982993197278	True	1000
