gene,N,spearman_r_rna_seq,spearman_p_rna_seq,pb_r_rna_seq,pb_p_rna_seq,spearman_r_cage,spearman_p_cage,pb_r_cage,pb_p_cage,spearman_r_chip_histone,spearman_p_chip_histone,pb_r_chip_histone,pb_p_chip_histone,spearman_r_dnase,spearman_p_dnase,pb_r_dnase,pb_p_dnase,n_sig_modalities
TREML2,27,0.5029,0.007496403513511767,0.5,0.00791273835800579,-0.2437,0.22059342354445258,0.049,0.8082095935608712,0.2996,0.12897880359969452,0.2385,0.23093970819049647,-0.1523,0.44837581954250794,0.0592,0.7691209430276316,1
SIGLEC11,21,0.3895,0.08088965916991446,0.1323,0.567549624003309,-0.017,0.941814433784511,0.1017,0.6610366742403959,-0.0272,0.9069259983568267,-0.0844,0.7160791572456295,-0.1164,0.615285529970128,0.1107,0.6329300651101208,0
PRDM7,64,0.3595,0.0035265276170839163,0.3595,0.003526527617083918,0.0305,0.811039818289786,0.0153,0.9042218792643052,-0.1354,0.28598121474152566,-0.0857,0.5006132043705833,0.0491,0.6999128400432355,0.0335,0.792411880763513,1
SORL1,179,0.2506,0.0007149688020443016,0.1491,0.04644096763316853,0.1945,0.009068133909290886,0.1986,0.007712528510345817,0.0928,0.21686768788838517,0.0882,0.2405928556423674,0.2188,0.0032601741154402,0.1429,0.05634124069119419,3
UNC5CL,15,0.25,0.36884629178393047,0.25,0.3688462917839306,-0.1439,0.608902633695076,-0.1398,0.6193593505761508,-0.3354,0.22161803375532874,-0.5416,0.037024094284511685,0.0,1.0,-0.2682,0.3337568697064056,0
APBB3,10,0.2182,0.5447373008044911,0.2182,0.5447373008044912,0.366,0.29833174774697435,0.2669,0.45596243311061824,-0.1627,0.6534672493230075,-0.175,0.6287699080227964,-0.1216,0.7379692957476814,-0.1548,0.6694104776152824,0
WDR12,88,0.1874,0.08039093440580466,0.0945,0.38139981826266733,0.03,0.7814698656628739,0.0197,0.8553993747126802,0.0155,0.8861955702817244,0.0496,0.646337076613539,-0.0077,0.9432450457806929,0.0435,0.6873199004100071,0
FERMT2,136,0.1762,0.04020534551645188,0.1254,0.14577410143364547,0.0055,0.9489656180727708,0.1418,0.09962094615458363,-0.051,0.5553746437312954,-0.0269,0.7563073135622074,-0.022,0.7994368232315944,0.1369,0.11200528947066332,1
ICA1,310,0.1753,0.0019423805274674806,0.0212,0.7101747907281246,0.0093,0.8702338254832348,0.013,0.8190520399349691,0.0817,0.15111520515787594,0.0874,0.12460970465012715,0.0612,0.28250494466109505,-0.0036,0.9493694367756246,1
LILRB2,28,0.173,0.37873686475669144,0.2412,0.21635499265640198,0.1771,0.36725659570698654,0.2419,0.21496489842215927,0.1745,0.3743599160248522,0.2029,0.30045568769088343,0.1053,0.5938734035933955,0.2368,0.224976505277508,0
JAZF1,488,0.1657,0.00023623976647219687,-0.0071,0.876100263321289,0.092,0.042195901158807794,-0.0547,0.2281358022104659,0.0801,0.077078947542413,0.0686,0.13006338997401173,0.0657,0.1470677762427738,-0.01,0.824888797402099,2
ACE,34,0.149,0.4004403161645115,-0.2111,0.23071366419632228,-0.1674,0.3440764951837125,-0.2259,0.19900858456456527,-0.0035,0.9844704569519329,-0.1038,0.5591922513714068,-0.0551,0.757025685320698,-0.2224,0.2061473628794127,0
CR1,183,0.1384,0.06162229008766077,-0.0522,0.4831718874828789,-0.0929,0.21085711869321153,-0.0735,0.32293195674322384,-0.1374,0.06360878841175,-0.1143,0.12324449432085548,-0.0856,0.2491480400712334,-0.0653,0.3797537954066066,0
PLEKHA1,91,0.1267,0.23127780815735965,0.0661,0.5335429588386925,-0.1188,0.26214945121071065,0.0583,0.5833010329510431,0.0533,0.6159329954421572,0.0549,0.6049755199071839,0.1159,0.2738948769345582,0.0665,0.5313876909550058,0
USP6NL,129,0.1196,0.17715202711647374,0.0265,0.7654544148609295,-0.0411,0.6437664297913557,0.0641,0.4703881598027295,-0.0175,0.8436594210625568,0.0114,0.8980289797424246,0.0513,0.5633891555363542,0.016,0.8572034027182996,0
RBCK1,37,0.1065,0.5304459610857801,0.1872,0.26724049001320793,-0.0215,0.8995242261386546,0.1853,0.27221804419962026,0.0761,0.6543376795910703,0.1708,0.31221484439150254,0.2484,0.13821651190622478,0.1956,0.24605857742383022,0
PLCG2,408,0.091,0.06620336107794957,0.0424,0.39297294374955377,-0.0459,0.3553347442896825,0.0284,0.5671120753766832,-0.0718,0.14770867369403787,0.0021,0.9669926195892405,0.08,0.10646940566711355,0.0514,0.30009396990145837,0
RHOH,83,0.075,0.5005067767522573,0.1252,0.2593211383368257,0.0902,0.41742673145025844,0.128,0.2487316563983689,0.1652,0.1354921011481376,0.1884,0.08808317769474892,0.0689,0.5358678620616473,0.1307,0.23890995002966417,0
BLNK,151,0.0736,0.36899581767101364,0.0468,0.5681242299264818,0.0497,0.5446816145314007,0.0454,0.5801386086906763,0.1249,0.1265019451739161,0.1439,0.07795899650917368,-0.0814,0.3206509379392293,0.033,0.6878638331637786,0
ANK3,825,0.0588,0.09119027545247486,-0.0215,0.5365086933788598,-0.0107,0.7587403115753771,-0.0461,0.1862805760624813,0.0714,0.04028953758725047,0.0542,0.12007239364692777,0.0702,0.04386080824543618,-0.0234,0.502487217552934,2
ANKH,189,0.0578,0.4296401781029646,-0.0161,0.826284810757852,-0.0439,0.548816022297944,0.0126,0.8638842347534844,-0.0011,0.988139142668541,0.0078,0.9156986589584419,0.0326,0.6562123697930887,-0.0656,0.3701369139141447,0
CLNK,229,0.0574,0.3875465374529288,0.0227,0.7325102836369224,-0.076,0.25216305391553745,-0.0855,0.19730842837245566,-0.1084,0.1018232781052605,-0.0989,0.1357044214188716,-0.0224,0.7356111216853787,-0.0442,0.5058672519584176,0
ABI3,19,0.0556,0.8212832692417213,0.0556,0.8212832692417201,-0.0669,0.7854021650812755,0.0343,0.8889844400160649,-0.0683,0.7810154873467394,-0.0232,0.9249946038637095,-0.3846,0.10394618104616571,-0.437,0.06137416498266356,0
RASGEF1C,179,0.0536,0.47615727077108017,0.0446,0.5536990285997774,0.0335,0.6564963506352264,0.062,0.4093636837102106,0.033,0.6606508968112961,0.0504,0.5026808904797729,-0.0022,0.9771440048550286,0.0453,0.5474741124008219,0
PSEN2,121,0.053,0.5636755138638094,-0.0886,0.3339607945036956,-0.1142,0.2122636355623383,-0.0996,0.2769490623160227,0.0104,0.9099074719419153,0.0231,0.8013977013333227,0.0014,0.9875722898042553,-0.1017,0.2668415102039391,0
ADAMTS1,11,0.0513,0.880931337304329,0.1625,0.6331767931413265,0.1009,0.7678039873783449,0.1937,0.5682491316069048,-0.0515,0.8803610549265368,0.0946,0.7820103744609568,0.2037,0.5479206624885749,0.1941,0.5673809035287933,0
HS3ST5,279,0.0476,0.42805746087984664,0.0471,0.433542242796871,0.0849,0.15741432707540684,0.0606,0.312912406135153,0.0967,0.10718206022929075,0.0875,0.14475860861612933,0.0549,0.3613679290062193,0.0469,0.4353297320929659,0
UMAD1,460,0.0362,0.4388441864953072,-0.0265,0.5706616157293558,-0.0165,0.724739101171515,-0.0577,0.21648665822964788,-0.0878,0.05983488096524543,-0.0947,0.042411113916442617,0.0067,0.8856101962281877,-0.0362,0.4383221320780774,0
PRKD3,136,0.0354,0.6822899181873201,-0.0472,0.5854949917270955,0.0054,0.9506264842007986,-0.0407,0.6378934983646763,-0.0286,0.7410845372670358,-0.016,0.8537620732873917,0.0054,0.950578626525066,-0.0485,0.5747749907193804,0
EPHA1,20,0.034,0.8868896611414476,0.0928,0.6972660798142665,-0.0591,0.8044108985073508,-0.162,0.49502767241436224,-0.3141,0.17750345542743254,-0.3229,0.16501795492960267,-0.3901,0.08906872692112758,0.0249,0.9168669455360323,0
ABCA7,58,0.033,0.8058817409276037,0.125,0.3499447745661108,0.1197,0.3707947092035556,0.1262,0.3450014936564544,0.0614,0.6469440783773872,0.1228,0.3583967074658228,0.0866,0.5181459696252044,0.1303,0.32976825774417795,0
BIN1,78,0.0274,0.81206736712675,0.1304,0.2551393853470571,0.0373,0.745600829935296,0.1329,0.2460669087230969,0.1516,0.1851367874367509,0.1505,0.1883128767119815,-0.0717,0.5330041858122635,0.1344,0.24090191328265403,0
SLC24A4,311,0.0265,0.6415155263178982,-0.0195,0.7325632370294505,-0.0529,0.3527390601189375,0.0382,0.5018740606033059,-0.0971,0.08748417319932819,-0.0896,0.11480852846841355,0.0335,0.5559916351765295,0.0288,0.6130186356963642,0
SORT1,74,0.0245,0.8360211858942809,0.0047,0.9683826997514536,-0.0838,0.4778998582438524,0.0019,0.987156520530786,0.065,0.5821276489933185,0.0193,0.8702773978258153,-0.0207,0.860747105868606,0.0008,0.9945299647429368,0
