allele_count,modality,n,case_enriched_pct,ir,fisher_p
>=1,RNA-seq,10122,70.7,1.0798,6.083575019130753e-07
>=1,CAGE,10122,70.7,1.0561,0.00026889627101123697
>=1,ChIP-histone,10122,70.7,1.062,2.299192731513073e-05
>=1,DNase,10122,70.7,1.0309,0.033915473805955075
>=3,RNA-seq,9866,71.2,1.0875,5.3656699669127026e-08
>=3,CAGE,9866,71.2,1.056,0.0003008727575439647
>=3,ChIP-histone,9866,71.2,1.061,3.176787854202043e-05
>=3,DNase,9866,71.2,1.0289,0.046997126801207864
>=5,RNA-seq,9238,71.9,1.0949,6.123091042415715e-09
>=5,CAGE,9238,71.9,1.0716,5.854888964288463e-06
>=5,ChIP-histone,9238,71.9,1.0708,1.8558558513214896e-06
>=5,DNase,9238,71.9,1.0317,0.032167819975324655
>=10,RNA-seq,7667,71.9,1.0974,3.435937299883033e-08
>=10,CAGE,7667,71.9,1.0653,0.00021422817837530626
>=10,ChIP-histone,7667,71.9,1.0841,2.643201053415609e-07
>=10,DNase,7667,71.9,1.0404,0.012276269487603807
