percentile,top_pct,n_high,n_low,ir,fisher_p
50,50%,5869,3997,1.1248,7.731874712865646e-19
55,45%,5869,3997,1.1248,7.731874712865646e-19
60,40%,5869,3997,1.1248,7.731874712865646e-19
65,35%,5869,3997,1.1248,7.731874712865646e-19
70,30%,2999,6867,1.0756,9.136409943832706e-08
75,25%,2555,7311,1.0572,0.00011415176999464755
80,20%,1986,7880,1.0875,5.3656699669127026e-08
85,15%,1525,8341,1.101,1.2176544366612285e-08
90,10%,987,8879,1.0754,0.00042711367820616323
95,5%,678,9188,1.0498,0.05310931037009308
