epigenome,epigenome_name,state,state_label,case_count,case_pct,ctrl_count,ctrl_pct,odds_ratio,pvalue,n_case_total,n_ctrl_total,fdr
E067,Angular Gyrus,10_TssBiv,Bivalent/Poised TSS,5,0.0702543206407194,0,0.0,inf,0.3304892348685343,7117,2852,0.6843176987365572
E067,Angular Gyrus,11_BivFlnk,Flanking Bivalent TSS/Enh,0,0.0,1,0.03506311360448808,0.0,0.2860868692948139,7117,2852,0.6843176987365572
E067,Angular Gyrus,12_EnhBiv,Bivalent Enhancer,2,0.02810172825628776,0,0.0,inf,1.0,7117,2852,1.0
E067,Angular Gyrus,13_ReprPC,Repressed PolyComb,13,0.18266123366587045,8,0.2805049088359046,0.6505489864864865,0.3389672047283784,7117,2852,0.6843176987365572
E067,Angular Gyrus,14_ReprPCWk,Weak Repressed PolyComb,293,4.116903189546157,104,3.6465638148667603,1.134519568942195,0.30763927558405174,7117,2852,0.6843176987365572
E067,Angular Gyrus,15_Quies,Quiescent/Low,3048,42.827033862582546,1259,44.14446002805049,0.947801340303123,0.23580031795500245,7117,2852,0.6352056698398804
E067,Angular Gyrus,1_TssA,Active TSS,98,1.3769846845581004,44,1.5427769985974753,0.8910360191169423,0.5141054929006362,7117,2852,0.8336905896152813
E067,Angular Gyrus,2_TssAFlnk,Flanking Active TSS,66,0.9273570324574961,22,0.7713884992987377,1.2040845270174443,0.5535439409548488,7117,2852,0.8336905896152813
E067,Angular Gyrus,3_TxFlnk,Transcr. at gene 5'/3',6,0.08430518476886328,0,0.0,inf,0.19222839082134754,7117,2852,0.5877488790064228
E067,Angular Gyrus,4_Tx,Strong Transcription,309,4.341717015596459,148,5.189340813464235,0.8292469908216089,0.07157369557640605,7117,2852,0.4096315052918242
E067,Angular Gyrus,5_TxWk,Weak Transcription,2588,36.36363636363637,1009,35.37868162692847,1.0437491151068952,0.3561576174203732,7117,2852,0.6843176987365572
E067,Angular Gyrus,6_EnhG,Genic Enhancers,80,1.1240691302515105,33,1.1570827489481066,0.9711438672643732,0.916668397484524,7117,2852,1.0
E067,Angular Gyrus,7_Enh,Enhancers,595,8.36026415624561,212,7.433380084151472,1.1360677648365765,0.13276177711848713,7117,2852,0.5753010341801109
E067,Angular Gyrus,8_ZNF/Rpts,ZNF Genes & Repeats,5,0.0702543206407194,6,0.21037868162692847,0.33347394075740533,0.08789597364209248,7117,2852,0.4284928715052008
E067,Angular Gyrus,9_Het,Heterochromatin,9,0.12645777715329493,6,0.21037868162692847,0.6005908835115363,0.3904914490322027,7117,2852,0.7028846082579648
E068,Anterior Caudate,10_TssBiv,Bivalent/Poised TSS,8,0.11240691302515105,4,0.1402524544179523,0.8012378674919116,0.7517172704616812,7117,2852,0.9882125915058058
